"method","parameter","N_success","Mean_Estimate","Bias","MC_SD","RMSE","Avg_SE","SE_MC_Ratio","Coverage","Avg_CI_Width","Mean_ESS","Mean_Max_Weight","Max_Weight_Overall","Supervised_MC_SD","ARE"
"Supervised","(Intercept)",1000,3.60819946491244,0.00998164974573145,0.206948582434573,0.207085782678469,0.208457218724511,1.00728990878889,0.958,0.817137282034859,NA,NA,NA,0.206948582434573,1
"Supervised","X1",1000,5.63391864695568,-0.0162895622036211,0.332713714790104,0.332946042821065,0.208736382173928,0.627375346716958,0.791,0.818231582648176,NA,NA,NA,0.332713714790104,1
"Supervised","X2",1000,5.62947363099765,-0.016920713203528,0.313171482160701,0.313471866994165,0.208544355887019,0.665911067151402,0.808,0.817478853435321,NA,NA,NA,0.313171482160701,1
"Supervised","X3",1000,5.64556985228609,-0.0046884107762242,0.326767750044303,0.326637974678624,0.208454623413276,0.637928998149341,0.799,0.817127108601763,NA,NA,NA,0.326767750044303,1
"Supervised","X4",1000,5.633880738991,-0.0175073623259142,0.319069103711428,0.319389723669816,0.208597081102693,0.653767722027239,0.806,0.817685532482918,NA,NA,NA,0.319069103711428,1
"PI","(Intercept)",1000,3.60779317962879,0.00957536446207424,0.207685554007786,0.207802414949295,NA,NA,NA,NA,NA,NA,NA,0.206948582434573,0.992915597755413
"PI","X1",1000,5.63268686339941,-0.0175213457598895,0.29993474908731,0.300296337662641,NA,NA,NA,NA,NA,NA,NA,0.332713714790104,1.23051762454587
"PI","X2",1000,5.62255057147848,-0.0238437727226972,0.287203678035851,0.288048593508622,NA,NA,NA,NA,NA,NA,NA,0.313171482160701,1.18900702550407
"PI","X3",1000,5.63969195715306,-0.0105663059092546,0.300785244398522,0.300820441966963,NA,NA,NA,NA,NA,NA,NA,0.326767750044303,1.1802263892709
"PI","X4",1000,5.6287584194541,-0.022629681862816,0.291180889179491,0.291913731116485,NA,NA,NA,NA,NA,NA,NA,0.319069103711428,1.20072559679766
"EASE","(Intercept)",1000,3.60948566686364,0.0112678516969263,0.210854115791126,0.211049669911553,NA,NA,NA,NA,NA,NA,NA,0.206948582434573,0.963298194750424
"EASE","X1",1000,5.64437842753652,-0.00582978162278405,0.342240325357296,0.342118836391884,NA,NA,NA,NA,NA,NA,NA,0.332713714790104,0.945102792500849
"EASE","X2",1000,5.63830522861053,-0.00808911559065453,0.324818924570089,0.324757232738779,NA,NA,NA,NA,NA,NA,NA,0.313171482160701,0.929569289115752
"EASE","X3",1000,5.65275300163212,0.00249473856979781,0.33895633807142,0.33879600269218,NA,NA,NA,NA,NA,NA,NA,0.326767750044303,0.929374725070744
"EASE","X4",1000,5.6386319444663,-0.0127561568506158,0.329567996379497,0.329650070090931,NA,NA,NA,NA,NA,NA,NA,0.319069103711428,0.937301779065516
"PSSE","(Intercept)",1000,3.59865924550677,0.000441430340056177,0.139505098553008,0.139436027304665,0.142301687467094,1.02004649968419,0.949,0.557812364749557,NA,NA,NA,0.206948582434573,2.20061845777333
"PSSE","X1",1000,5.63111962966345,-0.0190885794958548,0.245958432338565,0.246575401764198,0.257554550515493,1.04714665834659,0.955,1.00959528612954,NA,NA,NA,0.332713714790104,1.82986046423478
"PSSE","X2",1000,5.63531356742854,-0.011080776772643,0.247125723890542,0.247250552878859,0.258910265635324,1.04768642276189,0.953,1.01490959174587,NA,NA,NA,0.313171482160701,1.60593700860595
"PSSE","X3",1000,5.64202593053254,-0.0082323325297817,0.248688311416287,0.248700224482669,0.257108777929291,1.03385951862816,0.955,1.00784788970104,NA,NA,NA,0.326767750044303,1.72650415790282
"PSSE","X4",1000,5.64142862322191,-0.00995947809500295,0.254145262781637,0.254213327706628,0.255021475673461,1.00344768532073,0.945,0.999665815208483,NA,NA,NA,0.319069103711428,1.57617874555911
